"Ecosystem","Directory","File"
"github-actions","/","./.github/workflows/get_opa_hash.yml"
"github-actions","/","./.github/workflows/publish_to_pypi.yml"
"github-actions","/","./.github/workflows/pylint.yml"
"github-actions","/","./.github/workflows/run_opa_tests.yml"
"github-actions","/","./.github/workflows/run_pipeline.yml"
"github-actions","/","./.github/workflows/run_pytest_coverage.yml"
"github-actions","/","./.github/workflows/run_release.yml"
"github-actions","/","./.github/workflows/run_smoke_test.yml"
"github-actions","/","./.github/workflows/run_update_opa.yml"
"pip","/","./pyproject.toml"
"pip","/","./requirements.txt"
"pip","/scubagoggles/Testing/Functional/SmokeTests","./scubagoggles/Testing/Functional/SmokeTests/requirements.txt"
